Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
32,tt0364955,2012-04-16,2012-04-16,,Art School Confidential,https://www.imdb.com/title/tt0364955/,movie,6.3,102,2006,"Comedy, Drama, Romance",16023,2006-01-23,Terry Zwigoff
33,tt0115624,2012-04-16,2012-04-16,,Barb Wire,https://www.imdb.com/title/tt0115624/,movie,3.3,98,1996,"Action, Sci-Fi",23216,1996-05-03,David Hogan
34,tt0060153,2012-04-16,2012-04-16,,Batman: The Movie,https://www.imdb.com/title/tt0060153/,movie,6.5,105,1966,"Adventure, Comedy, Crime, Family",27451,1966-07-30,Leslie H. Martinson
35,tt0120611,2012-04-16,2012-04-16,,Blade,https://www.imdb.com/title/tt0120611/,movie,7.1,120,1998,"Action, Horror, Sci-Fi",225373,1998-08-19,Stephen Norrington
36,tt0187738,2012-04-16,2012-04-16,,Blade II,https://www.imdb.com/title/tt0187738/,movie,6.7,117,2002,"Action, Horror, Sci-Fi, Thriller",185805,2002-03-21,Guillermo del Toro
37,tt0359013,2012-04-16,2012-04-16,,Blade: Trinity,https://www.imdb.com/title/tt0359013/,movie,5.9,113,2004,"Action, Horror, Sci-Fi, Thriller",155118,2004-12-07,David S. Goyer
38,tt0245803,2012-04-16,2012-04-16,,Bulletproof Monk,https://www.imdb.com/title/tt0245803/,movie,5.5,104,2003,"Action, Comedy, Fantasy, Romance",45843,2003-04-16,Paul Hunter
39,tt0078937,2012-04-16,2012-04-16,,Captain America,https://www.imdb.com/title/tt0078937/,tvMovie,3.7,97,1979,"Action, Adventure, Sci-Fi",1321,1979-01-19,Rod Holcomb
40,tt0078938,2012-04-16,2012-04-16,,Captain America II: Death Too Soon,https://www.imdb.com/title/tt0078938/,tvMovie,4,83,1979,"Action, Adventure, Sci-Fi",929,1979-11-23,Ivan Nagy
41,tt0103923,2012-04-16,2012-04-16,,Captain America,https://www.imdb.com/title/tt0103923/,movie,3.3,97,1990,"Action, Adventure, Sci-Fi, War",10076,1990-12-14,Albert Pyun
